"resolver","name","addresses","status"
"114.114.114.114","huixiangqimao.cn","124.223.165.156","OK"
"114.114.114.114","www.huixiangqimao.cn","124.223.165.156","OK"
"223.5.5.5","huixiangqimao.cn","124.223.165.156","OK"
"223.5.5.5","www.huixiangqimao.cn","124.223.165.156","OK"
"8.8.8.8","huixiangqimao.cn","124.223.165.156","OK"
"8.8.8.8","www.huixiangqimao.cn","124.223.165.156","OK"
"1.1.1.1","huixiangqimao.cn","124.223.165.156","OK"
"1.1.1.1","www.huixiangqimao.cn","124.223.165.156","OK"
