ua,method,path,status,final_status,final_url,location,content_type,content_length,response_ms,html_bytes,text_chars,body_sha256,contains_company,contains_phone,has_noindex,canonical,x_robots_tag,server,cache_status,error
baiduspider,GET,/sitemap.xml,200,200,https://huixiangqimao.cn/sitemap.xml,,text/xml,3551,26,3551,0,c614556b18340a1782efe88a16d6437940b5ce62378cfc68f07625d4cec4acf8,false,false,false,,,nginx/1.26.3,,
baiduspider,GET,/trucks/,200,200,https://huixiangqimao.cn/trucks/,,text/html,70349,182,70349,7414,53d0d3251f8a7a0b848bb424643fa8bde8185bc00b81955feece1b687dc98d95,true,true,false,https://huixiangqimao.cn/trucks/,,nginx/1.26.3,,
baiduspider,GET,/vehicles/,404,404,https://huixiangqimao.cn/vehicles/,,text/html,17091,32,17091,840,b31db2e4cef79dfac2819b16967ee3aa36f891c23d57349dc366497b40a472d6,true,true,true,https://huixiangqimao.cn/404/,,nginx/1.26.3,,
baiduspider-render,GET,/,200,200,https://huixiangqimao.cn/,,text/html,39608,133,39608,3489,950cbc74a8cbd88af97428270171a164101ab1cccd7192de4138bda15b241bcc,true,true,false,https://huixiangqimao.cn/,,nginx/1.26.3,,
baiduspider-render,GET,/about/,200,200,https://huixiangqimao.cn/about/,,text/html,27300,124,27300,2672,e9f6617e9f753c672a7380ad0543c2229b8e1e16cdd3be960a87ccea0e68ce5f,true,true,false,https://huixiangqimao.cn/about/,,nginx/1.26.3,,
baiduspider-render,GET,/baidu-crawl-audit-after-fix-missing-20260723/,404,404,https://huixiangqimao.cn/baidu-crawl-audit-after-fix-missing-20260723/,,text/html,17091,22,17091,840,b31db2e4cef79dfac2819b16967ee3aa36f891c23d57349dc366497b40a472d6,true,true,true,https://huixiangqimao.cn/404/,,nginx/1.26.3,,
baiduspider-render,GET,/ByteDanceVerify.html,200,200,https://huixiangqimao.cn/ByteDanceVerify.html,,text/html,20,27,20,20,8ceae5490037d9a9f7396303a4acedc932e4ce645975588fa29b5751608a8d03,false,false,false,,,nginx/1.26.3,,
baiduspider-render,GET,/contact/,200,200,https://huixiangqimao.cn/contact/,,text/html,22743,32,22743,1929,defd29f49a746e755396f2104a6a8622ccb03eed4c6be121b05d31f1ca644740,true,true,false,https://huixiangqimao.cn/contact/,,nginx/1.26.3,,
baiduspider-render,GET,/news/,200,200,https://huixiangqimao.cn/news/,,text/html,31277,123,31277,2447,b79efa3821c5d4a555986fc3dbac169504433c9120de2dccb39addfb4ac6f101,true,true,false,https://huixiangqimao.cn/news/,,nginx/1.26.3,,
baiduspider-render,GET,/news/baidu-crawl-audit-after-fix-missing-20260723/,404,404,https://huixiangqimao.cn/news/baidu-crawl-audit-after-fix-missing-20260723/,,text/html,17091,20,17091,840,b31db2e4cef79dfac2819b16967ee3aa36f891c23d57349dc366497b40a472d6,true,true,true,https://huixiangqimao.cn/404/,,nginx/1.26.3,,
